BSV,abschlussdatum,einloesungsdatum,erstmalige_zuteilungsanwartschaft,Tilgungsbeginn,Vertragsende,DaBetrag,bausparsumme_teuro,guthaben,tariff_amount,contract_type
800283,2011-10-28,2012-05-27,20240510,,,34141.83,36.034,2388.26,NA,BS2
800284,1999-02-10,2000-01-31,20140130,20140423,,97325.1,20.219,40487.96,0.35,BS2
800285,2016-01-18,2016-10-03,20241005,,,19578.59,20.1,18579.07,0.35,BSK
800286,2011-12-26,2012-05-02,20201105,,,21270.75,20.953,10448.25,0.3,BS1
800287,2011-11-25,2012-01-10,,,,46695.56,50.08,34490.52,NA,VL7
800288,2016-12-21,2017-11-30,20291004,,,34695.72,40.157,2167.66,0.4,BS2
800289,2015-04-28,2015-06-04,20270112,20290227,,"38.324,81","40,561","15.512,38","0,5000",BS2
800290,2003-04-19,2003-07-22,20110602,,,24901.11,25.461,4496.72,0.5,BS1
800291,2002-12-01,2003-07-01,20110324,,,26231.4,25.992,23671.67,0.35,BS1
800292,2015-02-01,2015-07-23,,,,40552.48,45.215,33224.44,0.5,VL7
800293,2019-11-08,2020-12-04,20281007,,,13677.62,15.078,7276.22,0.35,VL7
800294,2018-08-15,2019-01-16,20280218,,,43244.36,45.354,25687.14,0.4,VL7
800295,2019-03-28,2019-12-21,20330701,,,46351.92,50.373,12588.89,0.5,VL7
800296,2003-07-12,2003-12-20,20130324,20130715,20240105,26684.89,30.7,19514.25,0.4,BSK
800297,2008-05-19,2009-03-26,20160219,,,165863.58,30.337,126367.59,0.4,
800298,2005-07-20,2006-08-10,20190929,,,"9765,79","10,111","2961,58","0,3500",BSK
800299,2013-03-17,2013-08-11,20220603,,,40834.08,40.729,22512.72,0.35,VL7
800300,2020-02-23,2020-06-30,,,,"25.875,82","25,311","8405,97","0,4000",VL7
800301,2008-12-08,2010-01-06,20231209,,,"80.478,00","24,166","65.672,16","0,5000",BS1
800302,2015-01-18,2015-06-21,20230319,,,"18.136,73","20,687","14.677,48","0,3000",
800303,2003-06-10,2003-08-13,20151021,20170411,,24983.8,25.188,20225.97,0.5,BSK
800304,2003-01-03,2003-09-01,,,,21426.46,24.312,5590.38,0.5,
800305,2002-08-26,2003-08-23,,,,21207.5,20.681,12807.78,0.3,BS1
800306,2021-09-20,2022-07-07,20310718,,,"39.925,03","40,303","9456,63","0,5000",
800307,2018-12-22,2019-04-12,,,,41911.95,40.862,14047.16,0.3,BS2
800308,2004-10-12,2004-12-18,20150304,20151216,20230715,51273.13,50.439,34501.01,NA,BS1
800309,2006-02-13,2007-01-07,20160123,,,19931.65,20.54,13415.74,0.4,
800310,2006-07-27,2007-01-07,20200430,20220303,,26911.65,30.09,6159.05,NA,BSK
800311,2009-07-15,2009-12-07,20231102,,,"32.508,15","36,149","12.410,39","0,3000",VL7
800312,2017-07-20,2018-03-13,20311028,,,"34.528,64","36,191","14.076,42",NA,BS1
800313,2009-06-04,2009-07-23,,,,9882.68,10.238,1261.13,0.4,BSK
800314,2014-01-16,2014-06-14,20260311,20260914,,19503.54,20.135,9157.6,0.35,
800315,2010-07-01,2011-06-09,20220901,,,42337.63,45.135,10159.61,0.5,
800316,2017-04-13,2018-03-08,,,,31096.24,36.1,18746.88,0.5,
800317,2011-08-11,2011-12-28,20241011,20250210,,9262.01,10.763,2935.02,0.3,VL7
800318,2021-04-23,2021-09-11,20350502,20360107,,9394.83,10.849,6173.74,0.4,BS1
800319,2003-01-25,2003-06-07,20140719,,,20437.49,20.246,12764.98,0.4,VL7
800320,2018-11-08,2019-06-02,20330615,20340727,,"24.238,00","24,783","8626,96",NA,BSK
800321,2013-07-21,2013-11-16,,,,14136.99,15.941,2863.79,0.35,BS1
800322,2008-11-18,2009-05-12,20220226,20230824,20320331,19726.98,20.615,2709.37,0.4,BS1
800323,2003-05-06,2004-05-22,,,,20058.08,20.012,2767.06,0.4,VL7
800324,1998-03-12,1999-01-24,20130405,,,13667.84,15.069,10930.14,0.4,BSK
800325,2016-10-25,2017-07-22,,,,21680.53,24.775,20014.34,0.4,BS2
800326,2002-03-02,2002-10-31,20150115,,,"13.339,29","15,510","12.398,56","0,4000",
800327,2014-10-22,2015-04-29,20260801,,,"10.581,99","10,525","5246,44","0,4000",VL7
800328,1999-06-01,2000-01-03,20081202,20090402,,295010.48,50.356,105678.62,0.4,BSK
800329,2021-10-11,2022-10-09,20300125,,,9108.33,10.198,7696.74,NA,BS2
800330,2010-05-15,2011-03-03,,,,36950.61,36.007,16059.75,0.35,BS2
800331,2006-08-02,2006-12-02,20190208,20210128,,"24.832,05","24,693","2571,80","0,5000",BS2
800332,2012-11-04,2013-10-21,20230709,20251212,20370721,213929.89,36.62,180675.71,NA,BSK
800333,2019-11-11,2020-02-27,20290923,20300710,,40034.93,40.989,10333.1,0.4,VL7
800334,2019-03-02,2019-09-16,20311007,,,45849.65,45.722,21641.17,0.4,BSK
800335,2006-06-06,2007-05-16,20180225,,,27776.03,30.161,1263.49,0.35,VL7
800336,2006-03-03,2006-06-26,20171009,20180829,,"34.993,44","36,115","28.739,31","0,3500",BSK
800337,2001-06-10,2001-10-05,20110210,,,239498.65,50.814,16912.16,0.4,VL7
800338,2007-10-20,2008-08-01,20151028,,,15961.52,15.736,13545.66,0.35,BS1
800339,2010-04-03,2010-06-17,20200502,,,9467.36,10.319,2615.29,0.35,BS1
800340,2022-04-02,2022-08-24,20300209,,,16071.01,15.901,10192.57,NA,BS2
800341,2014-12-09,2015-05-30,20270527,,,48375.65,50.35,10163.14,0.5,BS1
800342,2012-08-03,2012-10-08,20221225,20230120,20320414,"32.836,85","36,861","2743,39","0,3500",
800343,2004-07-13,2004-11-27,20120812,20141126,,26914.02,30.105,6106.13,0.3,BS2
800344,2020-07-12,2020-09-26,20310817,,,15574.29,15.191,12884.77,0.35,VL7
800345,2007-04-04,2008-04-05,20180219,,,42523.59,45.935,34846.57,0.35,BS1
800346,2011-08-17,2012-09-20,20250526,,,61180.04,10.254,8318.49,0.3,VL7
800347,2005-12-03,2006-11-30,20190516,,,41888.1,40.528,37443.6,0.4,BSK
800348,2002-12-14,2003-06-22,20150910,20160710,,32835.7,36.554,14054.93,0.35,BS2
800349,2020-08-26,2021-09-17,20300606,20301121,20380706,37213.16,40.376,20275.13,0.4,
800350,2008-06-19,2009-04-06,20190601,,,21992,24.096,3325.35,0.4,BS1
800351,2010-07-12,2011-02-09,20180518,20200130,,"21.629,52","24,849","11.180,00","0,5000",BS1
800352,2003-06-22,2003-11-12,,,,9183.76,10.626,3604.66,NA,
800353,2002-11-25,2003-03-05,20141128,,,8972.66,10.406,6493.55,0.4,BS2
800354,2010-03-05,2010-04-20,20190614,,,30712.34,30.59,5430.01,0.35,BS2
800355,2013-02-25,2013-04-02,,,,9539.66,10.008,5203.55,0.4,
800356,2009-07-11,2010-06-19,20211231,,,24817.53,24.265,1842.49,0.4,VL7
800357,2013-12-01,2014-04-25,20260601,20270805,,20993.53,24.229,19351.8,0.3,VL7
800358,2018-05-18,2018-06-20,20261102,,,19354.79,20.957,13653.24,0.4,BSK
800359,2006-10-17,2007-02-16,20190724,,,"50.996,26","20,535","28.907,73","0,3000",VL7
800360,2001-04-07,2001-05-31,20080913,,,19803.68,20.673,5109.57,0.4,BSK
800361,2015-04-27,2015-05-26,20260715,,,32147.98,10.797,26531.97,0.4,BS2
800362,2001-08-05,2002-01-07,,,,26455.24,30.938,11748.55,NA,
800363,2021-02-23,2021-07-25,20310801,,,"49.162,67","50,671","29.411,45","0,4000",VL7
800364,2009-04-13,2009-12-21,20221224,,,23144.05,24.311,13280.81,0.4,BS1
800365,2014-04-19,2014-11-19,20250531,20270128,20320318,10040.54,10.324,8109.83,0.4,BS1
800366,2001-08-09,2002-04-12,20121031,,,"47.795,78","50,875","28.926,16","0,4000",
800367,2006-12-21,2007-01-21,20180620,,,43081.79,50.52,2368.53,0.4,VL7
800368,2004-12-24,2005-09-25,20181207,,,37544.65,36.699,26217.46,0.4,VL7
800369,2006-03-16,2006-05-06,20140303,,,20670.59,20.404,5970.33,0.3,BSK
800370,2011-12-07,2012-09-26,,,,"30.690,18","36,065","9176,88",NA,
800371,2007-10-11,2007-12-14,20170320,20180116,,14596.61,15.115,3367.14,0.4,
800372,2014-12-26,2015-04-04,,,,23457.92,24.984,11284.97,NA,BS2
800373,2013-07-28,2013-09-04,,,,45563.17,45.847,25854.1,0.35,VL7
800374,2017-03-23,2018-03-28,20260628,20280930,,45497.5,45.612,23207.05,0.35,
800375,2022-01-08,2022-11-22,,,,22549.19,24.117,15270.96,0.4,BS1
800376,2003-06-19,2004-06-18,20180409,,,"25.302,46","25,183","8081,45",NA,BSK
800377,2021-08-04,2021-10-14,20340403,20350504,,23954.56,25.942,13766.62,0.3,VL7
800378,2003-08-25,2004-04-17,20180614,,,9516.49,10.874,4805.08,0.5,
800379,2021-07-23,2022-04-11,20330207,,,"31.665,07","36,639","13.020,04","0,3500",
800380,2013-06-10,2014-01-25,20220306,,,20114.97,20.538,18553.75,0.3,BS1
800381,2022-05-08,2023-05-28,20311224,,,34777.93,40.804,10706.97,0.5,BSK
800382,2005-08-03,2006-07-25,20190105,,,28899.06,30.682,7458.2,NA,BS1
800383,2012-06-22,2012-10-31,20250713,20271002,20400829,"22.235,16","24,397","12.824,53","0,3500",BSK
800384,2005-03-14,2006-01-16,,,,"34.155,32","36,954","18.858,68","0,4000",BSK
800385,2013-06-22,2014-02-14,20210921,20231009,,"46.392,68","50,117","2362,93",NA,BS1
800386,2015-04-24,2016-05-19,20250626,20271013,,41209.78,40.387,28216.36,0.5,VL7
800387,2001-08-18,2001-09-13,20110525,20121019,,35871.2,40.876,23537.54,NA,
800388,2014-05-25,2015-06-09,20240504,,,18304.54,20.118,16724.17,0.4,
800389,2001-09-19,2002-08-02,20121118,20121128,,31352.57,36.885,3725.93,0.35,BSK
800390,2002-02-02,2002-03-04,,,,26703.14,30.835,5030.29,NA,BS2
800391,2003-12-09,2004-09-30,,,,178349.76,30.455,143314.96,0.3,BSK
800392,2020-03-22,2021-02-23,20311007,,,37536.53,36.097,22761.72,0.3,BS2
800393,2003-01-09,2003-03-29,20120618,20140511,,"24.885,89","25,632","13.666,12","0,5000",
800394,2009-04-10,2009-06-24,20220811,,,49180.23,50.176,6544.58,0.3,BS1
800395,2014-07-23,2015-06-09,20260720,20280202,,45786.54,45.286,32420.05,0.4,VL7
800396,2001-08-12,2002-04-07,20090720,,,"24.760,44","24,728","4070,73",NA,
800397,2013-05-23,2013-09-12,,,,"171.790,50","30,403","119.713,25","0,3000",VL7
800398,2012-08-10,2013-05-18,20260209,,,"25.456,60","25,678","6246,67","0,3000",BS2
800399,2002-01-24,2003-01-16,,,,25436.22,25.117,1784.65,0.5,
800400,2013-10-10,2014-09-11,20231225,,,33998.66,36.683,1183.7,0.4,VL7
800401,2016-12-08,2017-08-20,20241121,20261216,,30096.35,30.902,13194.12,0.5,
800402,2020-12-28,2021-01-21,20340303,20350514,20400519,9502.83,10.921,1250.77,0.4,BS1
800403,2018-11-09,2019-03-13,,,,30431.89,30.343,7673.18,0.4,BSK
800404,1998-02-04,1998-05-24,20111003,20130930,20200120,88467.6,15.211,73581.64,0.4,VL7
800405,2012-06-22,2013-02-05,20241219,,,19908.16,20.296,13996.05,0.5,BS1
800406,2010-08-06,2010-10-28,20220716,,,"38.052,31","36,433","2588,99","0,4000",BSK
800407,2001-12-02,2002-03-23,,,,"35.853,41","40,250","6225,35","0,4000",BSK
800408,2015-12-20,2016-09-13,20280919,,,"24.664,98","25,264","3372,92","0,3000",BS1
800409,2016-06-06,2017-06-03,20300915,,,13970.73,15.537,10095.43,0.5,
800410,2009-10-10,2010-10-15,20211126,20230809,,42585.4,45.112,3450.12,0.5,
800411,2017-04-06,2018-03-25,20290112,,,24644.17,25.025,5514.07,NA,VL7
800412,2013-08-05,2014-06-29,20220920,,,23548.42,24.239,12346.25,0.4,BS1
800413,2012-09-13,2013-08-01,,,,13765.77,15.368,10714.79,0.35,VL7
800414,2008-01-07,2008-02-11,20171016,,,39562.27,45.336,29369.71,0.3,BS2
800415,2013-02-13,2013-12-17,20240903,20261112,,"34.742,42","40,306","27.864,14","0,3500",VL7
800416,2021-08-08,2021-11-28,20310711,,,23953.08,24.729,12878.55,NA,BSK
800417,2014-06-16,2014-11-03,20240909,,,19907.34,20.545,522.92,0.3,
800418,2001-04-16,2001-11-28,20140417,,,252744.39,45.075,16067.84,0.3,BS1
800419,2015-01-23,2015-05-07,20270731,20290905,,40590.64,40.289,12029.12,0.5,BSK
800420,2002-04-15,2002-10-28,20131222,20140629,,41845.86,45.399,18859.73,NA,BS1
800421,2010-09-16,2011-03-12,,,,27955.46,30.228,12560.44,0.4,BS2
800422,2020-11-13,2021-01-07,20340103,,,21313.6,20.395,13779.34,0.4,
800423,2006-02-03,2006-11-22,20131023,,,30474.8,30.117,26948.12,0.3,
800424,2002-10-24,2002-11-25,20110218,20130701,,47467.55,45.421,41920.11,NA,VL7
800425,2012-02-15,2012-08-02,20250914,,,21256.46,20.868,19959,0.4,BSK
800426,2013-01-20,2013-11-26,,,,34138.97,36.502,1246.24,0.35,BS2
800427,2002-05-28,2003-03-08,20121113,,,14535.8,15.299,823.53,NA,
800428,2009-01-26,2009-07-20,,,,"37.403,41","36,286","32.163,10","0,3500",BSK
800429,2012-02-20,2013-02-18,20260122,20261019,,24270.82,24.977,16374.6,0.4,BS1
800430,2007-10-24,2008-10-21,,,,102657.87,45.978,21102.08,0.3,VL7
800431,2016-06-01,2017-01-14,20271220,20280925,,"10.686,11","10,353","7978,64",NA,
800432,2019-11-21,2020-07-31,20300222,20311004,,42288.03,40.469,4829.73,0.5,VL7
800433,2008-05-20,2009-05-10,20171225,20180729,,52937.92,50.972,24931.55,0.35,BSK
800434,2016-04-16,2016-12-26,20251030,20260426,20320425,56243.03,10.42,23420.28,0.4,BSK
800435,2001-01-15,2001-06-17,20090208,,,27993.41,30.361,25383.02,0.3,
800436,2021-02-26,2022-01-16,,,,44666.21,45.813,39051.4,0.5,BS2
800437,2014-12-09,2015-03-16,20230525,,,22550.16,25.781,15395.86,0.35,
800438,2000-07-11,2000-10-25,20090801,,,42235.64,40.944,15714.44,0.35,VL7
800439,2007-12-14,2008-05-26,,,,19370.66,20.707,12178.39,0.35,BSK
800440,2006-12-19,2007-12-03,,,,"21.296,86","24,143","13.348,49","0,4000",VL7
800441,2002-08-03,2002-09-08,20100413,,,"32.170,35","36,133","11.105,11",NA,BS1
800442,2011-02-23,2011-12-24,,,,27928.47,30.8,21566.67,0.35,VL7
800443,2002-11-02,2003-04-14,20111001,,,15887.82,15.465,9984.34,NA,BS2
800444,2022-03-11,2023-03-17,20300422,,,40398.45,45.158,16541.73,0.4,VL7
800445,2002-08-19,2003-04-30,,,,57460.75,10.466,13968.88,0.4,BSK
800446,2002-02-16,2002-07-14,20151024,,,21583.51,24.068,3881.64,0.4,VL7
800447,2017-09-18,2018-03-02,20271005,,,30328.79,30.796,11585.14,0.5,BSK
800448,2002-01-11,2002-11-29,,,,43628.25,45.435,3862.15,0.5,
800449,2019-03-18,2019-05-08,20330217,20340504,,21624.07,25.388,4662.13,0.4,BS2
800450,2005-01-22,2005-04-07,20150706,20160424,,26554.66,30.872,6150.72,0.35,BS2
800451,2017-02-24,2017-12-12,20300520,,,26002.73,30.337,19154.29,0.4,BS2
800452,2018-10-14,2019-10-08,20290519,,,14617.97,15.914,10775.91,0.5,VL7
800453,2021-04-13,2021-09-04,,,,42015.82,45.023,35296.64,0.35,
800454,2006-09-20,2007-07-11,20201126,20220325,,13043.4,15.308,1070.91,NA,BSK
800455,2004-07-08,2005-03-16,20151215,,,29760.33,30.191,6711.38,0.4,BS1
800456,2011-10-02,2012-01-07,20190825,,,42226.65,45.77,13453.86,0.5,BS1
800457,2004-11-28,2005-08-02,20170405,,,21017.89,24.354,16510.79,0.5,VL7
800458,2011-12-02,2012-08-07,20230917,,,26369.8,25.98,15791.92,0.3,
800459,1999-11-23,2000-10-28,,,,42184.24,10.593,9580.91,0.35,BSK
800460,2011-08-05,2011-11-29,20220717,,,20573.53,20.576,15584.11,0.35,BSK
800461,2002-11-19,2003-06-29,20120816,,,16231.96,15.688,5974.01,NA,BS1
800462,2003-01-24,2003-09-08,20170626,,,110759.39,24.336,57913.72,0.4,
800463,2016-07-23,2017-02-16,20271001,,,26354.19,30.499,23451.36,0.4,BS1
800464,2000-02-27,2001-02-02,20130927,,,36207.88,36.674,22104.79,0.4,BSK
800465,1999-04-08,1999-12-28,20061117,,,17997.57,20.232,16974.59,0.35,
800466,2022-04-13,2023-03-13,20320913,,,26847.8,30.138,16097.83,0.4,BS1
800467,2016-11-28,2017-06-13,20280806,,,36108.79,40.22,31558.92,0.4,BSK
800468,2000-03-13,2000-12-18,20110320,20130211,,47015.29,45.926,19348.64,NA,VL7
800469,2017-12-27,2018-10-11,20291224,,,"12.942,44","15,046","6585,65","0,3000",VL7
800470,2018-01-17,2018-02-10,20291009,,,22214.2,25.935,9971.71,NA,
800471,2008-11-03,2009-11-15,20211021,20230130,,"14.286,67","15,052","11.543,06",NA,BSK
800472,2016-04-21,2016-11-04,20270719,,,"51.806,76","50,324","33.381,63","0,5000",
800473,2005-06-12,2006-07-13,20200327,,,235160.94,45.347,140452.83,0.3,BSK
800474,2014-07-14,2015-02-21,20241111,,,39013.13,40.605,17623.63,0.4,BS2
800475,2009-04-14,2009-11-13,20230608,20250831,,"35.184,32","36,763","33.166,31",NA,BS2
800476,1998-10-08,1999-06-19,20061106,,,45595.28,45.932,40116.65,0.3,VL7
800477,2012-03-25,2013-04-15,20230510,,,52263.73,50.522,11601.88,0.3,VL7
800478,1999-02-20,1999-06-12,20080814,,,25993.28,24.964,7827.57,0.35,
800479,2013-05-20,2013-08-11,20270927,,,"46.262,59","45,647","8961,41",NA,BS2
